Word ,  Count 
leauing , 1
dyde , 4
studied , 1
throw , 7
away , 11
dearest , 4
thing , 7
owd , 2
twere , 3
carelesse , 1
trifle , 1
theres , 14
finde , 11
mindes , 3
construction , 1
face , 10
whom , 11
built , 1
absolute , 3
worthyest , 1
sinne , 2
ingratitude , 1
euen , 11
swiftest , 1
wing , 3
recompence , 1
slow , 2
ouertake , 1
hadst , 1
deserud , 2
proportion , 1
payment , 1
left , 6
due , 4
seruice , 4
loyaltie , 1
doing , 2
payes , 1
part , 5
receiue , 5
duties , 5
throne , 4
seruants , 4
safe , 5
loue , 19
welcome , 11
hither , 5
begun , 2
plant , 2
labour , 3
full , 10
growing , 1
knowne , 8
enfold , 1
hold , 11
haruest , 1
owne , 17
plenteous , 1
ioyes , 1
wanton , 1
fulnesse , 1
seeke , 3
hide , 4
themselues , 6
drops , 1
sorrow , 8
sonnes , 5
kinsmen , 2
thanes , 6
places , 1
nearest , 1
establish , 1
estate , 2
eldest , 1
prince , 2
cumberland , 2
vnaccompanied , 1
inuest , 1
signes , 1
noblenesse , 1
starres , 2
shine , 3
deseruers , 1
hence , 11
envernes , 1
binde , 1
further , 9
labor , 1
vsd , 2
herbenger , 1
ioyfull , 2
hearing , 2
approach , 4
humbly , 1
take , 17
step , 1
fall , 6
else , 11
oreleape , 1
lyes , 6
fires , 1
light , 9
black , 4
desires , 1
eye , 11
winke , 1
bee , 2
commendations , 1
fed , 1
banquet , 2
lets , 7
after , 6
care , 5
bid , 7
peerelesse , 1
kinsman , 2
quinta , 3
macbeths , 4
alone , 4
letter , 1
lady , 48
met , 3
learnd , 1
perfectst , 1
mortall , 6
burnt , 1
desire , 7
made , 13
whiles , 4
wonder , 2
came , 5
missiues , 1
allhaild , 1
saluted , 1
referrd , 1
comming , 6
deliuer , 1
greatnesse , 3
mightst , 1
dues , 1
reioycing , 1
being , 10
ignorant , 2
lay , 5
farewell , 2
milke , 3
humane , 2
kindnesse , 1
catch , 3
neerest , 1
wouldst , 6
ambition , 3
illnesse , 1
attend , 5
highly , 2
holily , 2
play , 4
false , 9
