PAX Era Sunset Gelato,47696,Hybrid,81%,30.0,,Happy Sticks,Eaze,
PAX Era Jack Herer,47695,Sativa,81%,30.0,,Happy Sticks,Eaze,
PAX Era Sour Diesel,47686,Sativa,68%,30.0,,Brite Labs,Eaze,
PAX Era The Vision,51014,Hybrid,76%,30.0,,Brite Labs,Eaze,
PAX Era Alien OG,47684,Indica,69%,30.0,,Brite Labs,Eaze,
PAX Era Mendo Breath,47683,Indica,76%,30.0,,Brite Labs,Eaze,
PAX Era Gelato,51013,Indica,74%,30.0,,Brite Labs,Eaze,
24K,47668,Hybrid,85%,30.0,,Gold Drop,Eaze,
Extreme OG,47665,Indica,81%,30.0,,Gold Drop,Eaze,
Ghost Train Haze,47667,Sativa,79%,30.0,,Gold Drop,Eaze,
GOLD Gelato,47614,Hybrid,77%,30.0,,Jetty,Eaze,
Gelato,47616,Hybrid,67%,30.0,,Kingpen,Eaze,
GOLD Alien OG,47613,Hybrid,78%,30.0,,Jetty,Eaze,
GOLD Grand Daddy Purps,47610,Indica,81%,30.0,,Jetty,Eaze,
GOLD Maui Wowie,47611,Sativa,80%,30.0,,Jetty,Eaze,
GSC,47608,Hybrid,83%,30.0,,Bloom Farms,Eaze,
Sunset OG,47605,Indica,83%,30.0,,Bloom Farms,Eaze,
Sour Diesel,47607,Sativa,80%,30.0,,Bloom Farms,Eaze,
White Widow,31656,Hybrid,14.00 - 21.00,29.28,,7ACRES ,PEI Cannabis,
Sol Berry,47659,Hybrid,83%,29.0,,L E U N E ,Eaze,
Piña Dream,47660,Hybrid,76%,29.0,,L E U N E ,Eaze,
Desert Gold,47662,Hybrid,85%,29.0,,L E U N E ,Eaze,
Cloud Berry,47661,Hybrid,79%,29.0,,L E U N E ,Eaze,
Cherry Lime - 0.3 Gram,47663,Hybrid,85%,29.0,,Heavy Hitters,Eaze,
Alien Dawg,31519,Indica,12.90 - 20.00,28.99,,Canaca ,PEI Cannabis,
Eldo,31489,Sativa,10.00 - 19.00,28.73,,Up ,PEI Cannabis,
Mini's Sativa Preroll 5-Pack,49614,Sativa,18%,28.0,,Island,Eaze,
Mini's Hybrid Preroll 5-Pack,51416,Hybrid,20%,28.0,,Island,Eaze,
Mini's Indica Preroll 5-Pack,49613,Indica,16%,28.0,,Island,Eaze,
SilverStick 3in Slim 9mm Bat,31635,,,26.25,,SilverStick ,PEI Cannabis,
Harle-Tsu Classic,47535,CBD,1%,25.0,,Humboldt Farms,Eaze,
Sativa Live Resin - 1 Gram,49965,Sativa,65%,25.0,,Dime Bag,Eaze,
Indica Live Resin - 1 Gram,49637,Indica,65%,25.0,,Dime Bag,Eaze,
G Pen Gio Clementine,47715,Sativa,82%,25.0,,Old Pal,Eaze,
G Pen Gio Strawberry Banana,47716,Hybrid,82%,25.0,,Old Pal,Eaze,
G Pen Gio Purple Punch,47714,Indica,82%,25.0,,Old Pal,Eaze,
Fuego Sauce Pen,47658,Hybrid,65%,25.0,,Fuego,Eaze,
OZ Rings Sauce Pen,47657,Sativa,74%,25.0,,Fuego,Eaze,
White Walker Sauce Pen,47656,Hybrid,66%,25.0,,Fuego,Eaze,
Jet Fuel Sauce Pen,51576,Sativa,59%,25.0,,Fuego,Eaze,
Sativa Oil,31511,Sativa,10mg/ml,24.48,,Edison ,PEI Cannabis,
Banana Sherbet,47602,Hybrid,83%,23.0,,Kingpen,Eaze,
King Louis OG,47600,Indica,83%,23.0,,Kingpen,Eaze,
Purple Punch,47601,Indica,80%,23.0,,Kingpen,Eaze,
Terra Dark Chocolate Espresso Beans,47501,Hybrid,100mg,22.0,,Kiva Confections,Eaze,
Terra Sea Salt Caramel Bites,47503,Hybrid,100mg,22.0,,Kiva Confections,Eaze,
5:5 Oil,32360,Hybrid,5mg/ml,21.34,,Edison ,PEI Cannabis,
12oz Re:Stash x Eaze Jar,49653,Other,,21.0,,Re:Stash,Eaze,
Gio,47713,Gio Battery,,20.0,,G Pen,Eaze,
Dark Chocolate,47499,Hybrid,100mg,20.0,,Kiva Confections,Eaze,
Milk Chocolate,47498,Hybrid,100mg,20.0,,Kiva Confections,Eaze,
True Ryder Kush Torpedo Infused Preroll,51016,Indica,29%,20.0,,KGB Reserve,Eaze,
East Coast Sour Diesel Torpedo Infused Preroll,51015,Sativa,26%,20.0,,KGB Reserve,Eaze,
Strawberry Banana,47596,Hybrid,82%,20.0,,Old Pal,Eaze,
Purple Punch,47594,Indica,78%,20.0,,Old Pal,Eaze,
Clementine,47595,Sativa,81%,20.0,,Old Pal,Eaze,
FIGR No. 10 - Artisan,31493,Hybrid,9.99 - 12.99,19.99,,FIGR ,PEI Cannabis,
White Rhino,44397,Indica,16.00 - 21.00,19.57,,Emerald Health Therapeutics ,PEI Cannabis,
Mango RELIEF Gummies,47766,CBD,10mg,19.0,,PLUS,Eaze,
Strawberry Banana Shatter,51580,Hybrid,88%,19.0,,Guild Extracts,Eaze,
Animal Mint Batter,47519,Hybrid,66%,19.0,,Guild Extracts,Eaze,
Cherry Jubilee Shatter,49636,Hybrid,80%,19.0,,Guild Extracts,Eaze,
Bomber Infused Hybrid Preroll,49635,Hybrid,25%,19.0,,Neutron Genetics,Eaze,
Bomber Infused Indica Preroll,49633,Indica,25%,19.0,,Neutron Genetics,Eaze,
Peanut Butter Cups,47780,Hybrid,100mg,19.0,,Emerald Sky,Eaze,
Rise,31517,Sativa,16.00 - 23.00,18.78,,Cove ,PEI Cannabis,
Reflect,40814,Hybrid,14.00 - 25.00,18.78,,Cove ,PEI Cannabis,
Balance,42174,Indica,4.95mg/ml,18.71,,Solei ,PEI Cannabis,
Mini Mariner Hand Pipe,49659,Glass,,18.0,,Grav ,Eaze,
4oz Re:Stash x Eaze Jar,49654,Other,,18.0,,Re:Stash,Eaze,
Camino Pineapple Habanero Gummies,47496,Sativa,100mg,18.0,,Kiva Confections,Eaze,
Sour Watermelon UPLIFT Gummies,47763,Sativa,100mg,18.0,,PLUS,Eaze,
Black Cherry RESTORE Mints,47768,Indica,90mg,18.0,,PLUS,Eaze,
Ruby Fruits Licorice,47759,CBD,50mg,18.0,,Emerald Sky,Eaze,
Petra Moroccan Mints,47488,Hybrid,100mg,16.0,,Kiva Confections,Eaze,
Blood Orange Cardamom Social Tonic 4-Pack,47781,CBD,8mg,16.0,,Cann,Eaze,
Lemon Lavender Social Tonic 4-Pack,47783,CBD,8mg,16.0,,Cann,Eaze,
Grapefruit Rosemary Social Tonic 4-Pack,47782,CBD,8mg,16.0,,Cann,Eaze,
Petra Tart Cherry Mints,47489,Hybrid,100mg,16.0,,Kiva Confections,Eaze,
Alpine Strawberry Licorice,47758,Sativa,100mg,16.0,,Emerald Sky,Eaze,
Grape Noir Licorice,47757,Indica,100mg,16.0,,Emerald Sky,Eaze,
AiroPro,49649,Airo Battery,,15.0,,AiroPro,Eaze,
Rocket Infused Indica Preroll,49631,Indica,27%,15.0,,Neutron Genetics,Eaze,
Rocket Infused Hybrid Preroll,50604,Hybrid,27%,15.0,,Neutron Genetics,Eaze,
Tropical Mango Hard Fruit Drops,47756,Hybrid,100mg,15.0,,Emerald Sky,Eaze,
Peach Nectarine Hard Fruit Drops,47755,Indica,100mg,15.0,,Emerald Sky,Eaze,
Hybrid,47593,Hybrid,81%,15.0,,Old Pal,Eaze,
Indica,47591,Indica,82%,15.0,,Old Pal,Eaze,
Sativa,47592,Sativa,70%,15.0,,Old Pal,Eaze,
Lemon Skunk,41964,Hybrid,12.00 - 22.00,14.29,,DNA Genetics ,PEI Cannabis,
S'mores Milk Chocolate,47774,Hybrid,91mg,14.0,,Punch Edibles,Eaze,
