Word , Count 
sokes,2
ceremony,2
you;,8
shew'd,2
vsurpe,2
vulgar,2
neither,6
honourd,2
pale:,2
dreames,4
vnderstanding,4
resembles,2
deceiu'd,2
doomesday:,2
blow,3
points,3
currants,3
round,7
coarses,2
pious,3
you,501
non,2
insert,2
freely;,2
receiues,2
greeue;,2
panders,2
selfe-,2
now,89
heraldrie,2
vaine,2
thereon;,2
statists,2
parley,2
commendable,2
aduancement,3
moone:,2
reaks,2
ordenance,2
edge,4
brood,2
seeing:,2
sight,8
ingag'd:,2
cousen,2
did;,2
sleepe;,3
fee;,2
maiestie,8
winking,2
ago,2
peepe,3
hecticke,2
requite,2
wisedomes,2
shortens,2
perdie,2
thankes:,2
went,6
delights,4
profession,2
temple,2
hey,3
reason;,2
did,60
sides:,2
dole,2
exeunt,24
stye,2
strike,3
heads,2
cuffes,2
prayers,2
god-a-mercy,2
sutes,2
didst,2
obseruers,2
blast,3
ice,3
beards;,2
visitation,4
cheeke,3
holie,2
doe:,2
scarce,2
haile,2
faded,2
chide,2
formall,2
defie,2
rugged,3
stale,2
deere,21
back,2
breaths,2
vnkles,2
twenty,3
sing,6
sadly,2
shrunke,2
marble,2
space;,2
importunity,2
gaue,8
benefit,2
proper,3
obedience,3
therfore,2
collected,3
wharfe,2
ape,3
neglect;,2
orderly,2
easily,2
supply,2
pol,50
bands,2
impotent,2
found,6
minerall,2
louingly;,2
won,2
assault,2
cries,6
deuices,2
fellowship,3
fals,3
thinke,43
hot,7
vnhappily,2
honesty,2
steale,2
vnion,3
royall,4
fingers,5
wed:,2
stand:,2
greefes:,2
hole,2
some,46
colours,2
larded,3
th'hyrcanian,2
sinnes,3
warmes,2
act:,3
beguile,3
whom,5
greet,2
vnreclaim'd,2
pitious,2
concluded,2
soone,2
accesse,2
annoint,2
iangled,2
seal'd,5
twelue,6
alone:,2
paule,2
apart,3
remorselesse,2
soop-stake,2
relatiue,2
thereof,2
rash,4
preparation,2
retaine,2
taken,3
comedie,3
pole:,2
confin'd,2
claimes,2
drie,2
reeles,2
fruitfull,2
wonder,4
throughly,2
germaine,2
seduce,2
clutch:,2
doth,28
vp,35
violent,5
loud,2
vs'd,2
not;,2
burning,3
signifie,3
hindges,2
haply,3
comply,2
euen,22
organe,2
turn'd,5
distrust,3
medicine,2
gracious,6
defend,3
combined,2
burnes,3
againe;,3
ros,3
fierie,2
importing,3
adioyn'd:,2
fra,2
drab,2
prayer,3
lady,10
president,2
gall'd,2
marcell,2
pe,2
applaud,2
blood,12
droppings,2
gleane,2
abuse,2
thanke,8
smiling,4
thou-,2
thee:,2
or,104
tan'd,2
he's,7
bed,12
presence;,2
who's,3
flie,2
heere,44
warning,2
amb,2
though,23
breuitie,2
rough-hew,2
helpe;,2
right:,2
fear,2
voltumand,3
bulke:,2
lispe,2
distracted,5
groaning,2
farme,2
better,15
disioynt,2
firme,2
exceedingly,2
sauory;,2
